time,power[1],power[2],power[3],power[4],power[5],OA Wetbulb Temp
0.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
15.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
30.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
45.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
60.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
75.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
90.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
105.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
120.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
135.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
150.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
165.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
180.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
195.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
210.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
225.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
240.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
255.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
270.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
285.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
300.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
315.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
330.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
345.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
360.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
375.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
390.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
405.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
420.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
435.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
450.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
465.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
480.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
495.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
510.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
525.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
540.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
555.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
570.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
585.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
600.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
615.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
630.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
645.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
660.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
675.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
690.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
705.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
720.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
735.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
750.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
765.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
780.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
795.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
810.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
825.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
840.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
855.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
870.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
885.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
900.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
915.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
930.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
945.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
960.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
975.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
990.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1005.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1020.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1035.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1050.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1065.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1080.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1095.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1110.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1125.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1140.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1155.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1170.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1185.0,400000.0,400000.0,400000.0,241250.0,400000.0,5.0
1200.0,400000.0,400000.0,400000.0,308750.0,400000.0,5.0
